     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorStringInterp.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorArgsCountMismatch.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorCtorHasType.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorIncrement.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorInvalidTypeMember.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorInitMismatch.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorCallingFuncWithVoid.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorInvalidTestName.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorParsingExpr.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorMissingInit.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorDuplicateTest.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorInvalidIdent.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorArgTypeMismatch.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.1ms, ./tests/errors/errorTypeInheritsSelf.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.1ms, ./tests/errors/errorIndexDimsMismatch.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.1ms, ./tests/errors/errorTypeMismatchBinOp.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorConstructorHasCycle.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.2ms, ./tests/errors/errorUnrecognizedFunc.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.1ms, ./tests/errors/errorDuplicateFunc.jet
     62 B,     6 L,    24 T,  12.39 N/f,  0.1ms, ./tests/errors/errorUnrecognizedVar.jet
    810 B,    30 L,   300 T,  11.85 N/f,  0.1ms, ./tests/oloadname.jet
   2858 B,    65 L,   933 T,  10.45 N/f,  0.2ms, ./tests/elemwise.jet
   4839 B,   152 L,   878 T,   5.81 N/f,  0.2ms, ./tests/language.jet
    359 B,    82 L,   201 T,  17.92 N/f,  0.1ms, ./tests/compr.jet
   1272 B,    56 L,   253 T,   6.36 N/f,  0.1ms, ./tests/feat.jet
   9204 B,   279 L,  2862 T,   9.95 N/f,  0.2ms, ./tests/field3d.jet
  41155 B,  1198 L,  9896 T,   7.69 N/f,  0.5ms, ./self/emit.jet
  22023 B,   588 L,  4293 T,   6.24 N/f,  0.4ms, ./self/errors.jet
    497 B,    25 L,   128 T,   8.24 N/f,  0.1ms, ./self/tokens.jet
  12054 B,   436 L,  2989 T,   7.93 N/f,  0.2ms, ./self/token.jet
  20369 B,   706 L,  4966 T,   7.80 N/f,  0.3ms, ./self/interval.jet
   7104 B,   211 L,  1577 T,   7.10 N/f,  0.2ms, ./self/resolve.jet
   3943 B,   120 L,   861 T,   6.99 N/f,  0.2ms, ./self/cse.jet
